#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2023-05-24T11:26:18.344465814Z,2023-05-31T11:26:18.344465814Z,2023-05-29T13:24:26.774232278Z,18,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2470592,2501
,,1,files_input_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2023-05-24T11:26:18.344465814Z,2023-05-31T11:26:18.344465814Z,2023-05-29T13:24:26.774232278Z,6748090430,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2470592,2501
,,2,files_output_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2023-05-24T11:26:18.344465814Z,2023-05-31T11:26:18.344465814Z,2023-05-29T13:25:46.475150413Z,10,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2470592,2501
,,3,files_output_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2023-05-24T11:26:18.344465814Z,2023-05-31T11:26:18.344465814Z,2023-05-29T13:25:46.475150413Z,124707,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2470592,2501
,,4,max_cpus,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2023-05-24T11:26:18.344465814Z,2023-05-31T11:26:18.344465814Z,2023-05-29T13:24:28.773819722Z,2,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2470592,2501
,,5,max_mem,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2023-05-24T11:26:18.344465814Z,2023-05-31T11:26:18.344465814Z,2023-05-29T13:24:28.773819722Z,4294967296,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452477) (2501),2470592,2501
