#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),2023-05-24T11:25:57.337280623Z,2023-05-31T11:25:57.337280623Z,2023-05-29T04:26:52.557211164Z,8,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),65665,1735
,,1,files_input_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),2023-05-24T11:25:57.337280623Z,2023-05-31T11:25:57.337280623Z,2023-05-29T04:26:52.557211164Z,5484642895,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),65665,1735
,,2,files_output_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),2023-05-24T11:25:57.337280623Z,2023-05-31T11:25:57.337280623Z,2023-05-29T04:29:36.941402493Z,20,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),65665,1735
,,3,files_output_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),2023-05-24T11:25:57.337280623Z,2023-05-31T11:25:57.337280623Z,2023-05-29T04:29:36.941402493Z,1556037625,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),65665,1735
,,4,max_cpus,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),2023-05-24T11:25:57.337280623Z,2023-05-31T11:25:57.337280623Z,2023-05-29T04:26:55.543714Z,2,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),65665,1735
,,5,max_mem,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),2023-05-24T11:25:57.337280623Z,2023-05-31T11:25:57.337280623Z,2023-05-29T04:26:55.543714Z,4294967296,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452402) (1735),65665,1735
