#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),2023-05-24T11:26:09.663537725Z,2023-05-31T11:26:09.663537725Z,2023-05-29T15:58:53.092439089Z,18,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),260825,3529
,,1,files_input_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),2023-05-24T11:26:09.663537725Z,2023-05-31T11:26:09.663537725Z,2023-05-29T15:58:53.092439089Z,6692170193,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),260825,3529
,,2,files_output_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),2023-05-24T11:26:09.663537725Z,2023-05-31T11:26:09.663537725Z,2023-05-29T15:59:03.615569999Z,10,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),260825,3529
,,3,files_output_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),2023-05-24T11:26:09.663537725Z,2023-05-31T11:26:09.663537725Z,2023-05-29T15:59:03.615569999Z,121040,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),260825,3529
,,4,max_cpus,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),2023-05-24T11:26:09.663537725Z,2023-05-31T11:26:09.663537725Z,2023-05-29T15:58:56.092412914Z,2,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),260825,3529
,,5,max_mem,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),2023-05-24T11:26:09.663537725Z,2023-05-31T11:26:09.663537725Z,2023-05-29T15:58:56.092412914Z,4294967296,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452473) (3529),260825,3529
