#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2023-05-24T11:26:38.657774843Z,2023-05-31T11:26:38.657774843Z,2023-05-29T13:14:09.032369818Z,16,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2180743,2440
,,1,files_input_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2023-05-24T11:26:38.657774843Z,2023-05-31T11:26:38.657774843Z,2023-05-29T13:14:09.032369818Z,6937276176,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2180743,2440
,,2,files_output_num,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2023-05-24T11:26:38.657774843Z,2023-05-31T11:26:38.657774843Z,2023-05-29T13:14:16.855268661Z,12,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2180743,2440
,,3,files_output_total_size,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2023-05-24T11:26:38.657774843Z,2023-05-31T11:26:38.657774843Z,2023-05-29T13:14:16.855268661Z,52102,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2180743,2440
,,4,max_cpus,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2023-05-24T11:26:38.657774843Z,2023-05-31T11:26:38.657774843Z,2023-05-29T13:14:12.033057057Z,2,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2180743,2440
,,5,max_mem,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2023-05-24T11:26:38.657774843Z,2023-05-31T11:26:38.657774843Z,2023-05-29T13:14:12.033057057Z,4294967296,NFCORE_SAREK:SAREK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (SRR11452485) (2440),2180743,2440
