#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2023-05-24T11:32:21.346069944Z,2023-05-31T11:32:21.346069944Z,2023-05-29T16:53:50.195390376Z,13,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2633592,4059
,,1,files_input_total_size,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2023-05-24T11:32:21.346069944Z,2023-05-31T11:32:21.346069944Z,2023-05-29T16:53:50.195390376Z,5249779588,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2633592,4059
,,2,files_output_num,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2023-05-24T11:32:21.346069944Z,2023-05-31T11:32:21.346069944Z,2023-05-29T16:53:57.908084412Z,8,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2633592,4059
,,3,files_output_total_size,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2023-05-24T11:32:21.346069944Z,2023-05-31T11:32:21.346069944Z,2023-05-29T16:53:57.908084412Z,43455,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2633592,4059
,,4,max_cpus,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2023-05-24T11:32:21.346069944Z,2023-05-31T11:32:21.346069944Z,2023-05-29T16:53:53.194477942Z,2,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2633592,4059
,,5,max_mem,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2023-05-24T11:32:21.346069944Z,2023-05-31T11:32:21.346069944Z,2023-05-29T16:53:53.194477942Z,4294967296,NFCORE_SAREK:SAREK:BAM_APPLYBQSR:GATK4_APPLYBQSR (SRR11452484) (4059),2633592,4059
