#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2023-05-24T12:17:36.971894125Z,2023-05-31T12:17:36.971894125Z,2023-05-30T03:55:59.331137395Z,9,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2593592,6790
,,1,files_input_total_size,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2023-05-24T12:17:36.971894125Z,2023-05-31T12:17:36.971894125Z,2023-05-30T03:55:59.331137395Z,12821659,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2593592,6790
,,2,files_output_num,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2023-05-24T12:17:36.971894125Z,2023-05-31T12:17:36.971894125Z,2023-05-30T03:56:02.450034306Z,4,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2593592,6790
,,3,files_output_total_size,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2023-05-24T12:17:36.971894125Z,2023-05-31T12:17:36.971894125Z,2023-05-30T03:56:02.450034306Z,7577,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2593592,6790
,,4,max_cpus,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2023-05-24T12:17:36.971894125Z,2023-05-31T12:17:36.971894125Z,2023-05-30T03:56:02.330864912Z,1,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2593592,6790
,,5,max_mem,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2023-05-24T12:17:36.971894125Z,2023-05-31T12:17:36.971894125Z,2023-05-30T03:56:02.330864912Z,1073741824,NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (SRR11452479) (6790),2593592,6790
