#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,samtools_flagstat_after_filter (DA93) (1798),2023-05-13T13:00:05.169922263Z,2023-06-12T13:00:05.169922263Z,2023-06-07T12:22:52.181053486Z,6,samtools_flagstat_after_filter (DA93) (1798),3890943,1798
,,1,files_input_total_size,samtools_flagstat_after_filter (DA93) (1798),2023-05-13T13:00:05.169922263Z,2023-06-12T13:00:05.169922263Z,2023-06-07T12:22:52.181053486Z,3057163363,samtools_flagstat_after_filter (DA93) (1798),3890943,1798
,,2,files_output_num,samtools_flagstat_after_filter (DA93) (1798),2023-05-13T13:00:05.169922263Z,2023-06-12T13:00:05.169922263Z,2023-06-07T12:23:41.329283174Z,6,samtools_flagstat_after_filter (DA93) (1798),3890943,1798
,,3,files_output_total_size,samtools_flagstat_after_filter (DA93) (1798),2023-05-13T13:00:05.169922263Z,2023-06-12T13:00:05.169922263Z,2023-06-07T12:23:41.329283174Z,908,samtools_flagstat_after_filter (DA93) (1798),3890943,1798
,,4,max_cpus,samtools_flagstat_after_filter (DA93) (1798),2023-05-13T13:00:05.169922263Z,2023-06-12T13:00:05.169922263Z,2023-06-07T12:22:57.176937647Z,1,samtools_flagstat_after_filter (DA93) (1798),3890943,1798
,,5,max_mem,samtools_flagstat_after_filter (DA93) (1798),2023-05-13T13:00:05.169922263Z,2023-06-12T13:00:05.169922263Z,2023-06-07T12:22:57.176937647Z,1073741824,samtools_flagstat_after_filter (DA93) (1798),3890943,1798
