#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#group,false,false,true,true,true,true,false,false,true,true,true
#default,_result,,,,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value,name,pid,tid
,,0,files_input_num,fastqc_after_clipping (DA59_L1) (629),2023-05-13T12:42:51.589141111Z,2023-06-12T12:42:51.589141111Z,2023-06-02T07:25:40.838027563Z,8,fastqc_after_clipping (DA59_L1) (629),2558904,629
,,1,files_input_total_size,fastqc_after_clipping (DA59_L1) (629),2023-05-13T12:42:51.589141111Z,2023-06-12T12:42:51.589141111Z,2023-06-02T07:25:40.838027563Z,1550445074,fastqc_after_clipping (DA59_L1) (629),2558904,629
,,2,files_output_num,fastqc_after_clipping (DA59_L1) (629),2023-05-13T12:42:51.589141111Z,2023-06-12T12:42:51.589141111Z,2023-06-02T07:28:56.147986848Z,5,fastqc_after_clipping (DA59_L1) (629),2558904,629
,,3,files_output_total_size,fastqc_after_clipping (DA59_L1) (629),2023-05-13T12:42:51.589141111Z,2023-06-12T12:42:51.589141111Z,2023-06-02T07:28:56.147986848Z,504725,fastqc_after_clipping (DA59_L1) (629),2558904,629
,,4,max_cpus,fastqc_after_clipping (DA59_L1) (629),2023-05-13T12:42:51.589141111Z,2023-06-12T12:42:51.589141111Z,2023-06-02T07:25:43.837760089Z,2,fastqc_after_clipping (DA59_L1) (629),2558904,629
,,5,max_mem,fastqc_after_clipping (DA59_L1) (629),2023-05-13T12:42:51.589141111Z,2023-06-12T12:42:51.589141111Z,2023-06-02T07:25:43.837760089Z,4294967296,fastqc_after_clipping (DA59_L1) (629),2558904,629
